header leveltrackrewardsettings,Id,StartCityId,,,
leveltrackrewardsettings,default,22,,,
header leveltrackreward,IdKey,Level,EntityTypeId,EntityId,Quantity
leveltrackreward,1,1,basecurrencystorage,coins,800
leveltrackreward,2,1,basecurrencyregen,coins,80
leveltrackreward,3,1,basecurrencystorage,supplies,50
leveltrackreward,4,1,basecurrencyregen,supplies,5
leveltrackreward,5,1,basecurrencystorage,mana,40
leveltrackreward,6,1,basecurrencyregen,mana,4
leveltrackreward,7,1,basecurrencystorage,rations,60
leveltrackreward,8,1,basecurrencyregen,rations,6
leveltrackreward,9,1,caravanmember,donkey,1
leveltrackreward,10,1,basegameplaystat,max size,2
leveltrackreward,11,1,basegameplaystat,searching,1
leveltrackreward,12,1,corecurrency,coins,800
leveltrackreward,13,1,corecurrency,supplies,50
leveltrackreward,14,1,corecurrency,mana,40
leveltrackreward,15,1,corecurrency,rations,60
leveltrackreward,16,2,basecurrencystorage,coins,200
leveltrackreward,17,3,basecurrencyregen,coins,20
leveltrackreward,18,4,basecurrencystorage,supplies,10
leveltrackreward,19,5,basecurrencyregen,supplies,1
leveltrackreward,20,6,basecurrencystorage,rations,10
leveltrackreward,21,7,basecurrencyregen,rations,1
leveltrackreward,22,8,basecurrencystorage,mana,10
leveltrackreward,23,9,basecurrencyregen,mana,1
leveltrackreward,24,10,basecurrencystorage,coins,200
leveltrackreward,25,11,basecurrencyregen,coins,20
leveltrackreward,26,12,basecurrencystorage,supplies,10
leveltrackreward,27,13,basecurrencyregen,supplies,1
leveltrackreward,28,14,basecurrencystorage,rations,10
leveltrackreward,29,15,basecurrencyregen,rations,1
leveltrackreward,30,16,basecurrencystorage,mana,10
leveltrackreward,31,17,basecurrencyregen,mana,1
leveltrackreward,32,18,basecurrencystorage,coins,300
leveltrackreward,33,19,basecurrencyregen,coins,30
leveltrackreward,34,20,basecurrencystorage,supplies,10
leveltrackreward,35,21,basecurrencyregen,supplies,1
leveltrackreward,36,22,basecurrencystorage,rations,10
leveltrackreward,37,23,basecurrencyregen,rations,1
leveltrackreward,38,24,basecurrencystorage,mana,10
leveltrackreward,39,25,basecurrencyregen,mana,1
leveltrackreward,40,26,basegameplaystat,max size,1
leveltrackreward,41,1,skintype,donkey,1
